tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115+04379,AZ-101-LOOP,WESTBOUND,56TH ST/EXIT 32,AZ,MARICOPA,85054,33.65951,-111.93114,33.66519,-111.95401,1.376025,7,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04137,AZ-101-LOOP,EASTBOUND,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224803,7,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04137,AZ-101-LOOP,EASTBOUND,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903466,8,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04379,AZ-101-LOOP,WESTBOUND,56TH ST/EXIT 32,AZ,MARICOPA,85054,33.66519,-111.95401,33.67013,-111.96457,0.696492,8,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04378,AZ-101-LOOP,WESTBOUND,TATUM BLVD/EXIT 31,AZ,MARICOPA,85054,33.67013,-111.96457,33.67259,-111.97089,0.402386,9,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04138,AZ-101-LOOP,EASTBOUND,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199391,9,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04138,AZ-101-LOOP,EASTBOUND,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317499,10,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04378,AZ-101-LOOP,WESTBOUND,TATUM BLVD/EXIT 31,AZ,MARICOPA,85050,33.67259,-111.97089,33.67306,-111.98379,0.744653,10,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+05163,AZ-101-LOOP,WESTBOUND,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67306,-111.98379,33.67302,-111.98857,0.274825,11,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04139,AZ-101-LOOP,EASTBOUND,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425474,11,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P05163,AZ-101-LOOP,WESTBOUND,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67302,-111.98857,33.67293,-112.00942,1.20979,12,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04139,AZ-101-LOOP,EASTBOUND,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595055,12,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04377,AZ-101-LOOP,WESTBOUND,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.67293,-112.00942,33.67283,-112.02379,0.826181,13,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04140,AZ-101-LOOP,EASTBOUND,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,13,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04140,AZ-101-LOOP,EASTBOUND,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077861,14,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04377,AZ-101-LOOP,WESTBOUND,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.67283,-112.02379,33.67009,-112.03833,0.867985,14,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04376,AZ-101-LOOP,WESTBOUND,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.67009,-112.03833,33.66917,-112.05912,1.204628,15,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04374,AZ-101-LOOP,EASTBOUND,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142708,15,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04374,AZ-101-LOOP,EASTBOUND,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,16,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04376,AZ-101-LOOP,WESTBOUND,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66917,-112.05912,33.66897,-112.07266,0.778597,16,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04375,AZ-101-LOOP,WESTBOUND,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66897,-112.07266,33.66892,-112.07623,0.205283,17,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04375,AZ-101-LOOP,EASTBOUND,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,17,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04375,AZ-101-LOOP,EASTBOUND,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746925,18,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04375,AZ-101-LOOP,WESTBOUND,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66892,-112.07623,33.66937,-112.08968,0.77615,18,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04374,AZ-101-LOOP,WESTBOUND,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66937,-112.08968,33.66966,-112.09245,0.160533,19,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04376,AZ-101-LOOP,EASTBOUND,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,19,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04376,AZ-101-LOOP,EASTBOUND,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820003,20,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04374,AZ-101-LOOP,WESTBOUND,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66966,-112.09245,33.66976,-112.0943,0.106601,20,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04140,AZ-101-LOOP,WESTBOUND,I-17/EXIT 23,AZ,MARICOPA,85027,33.66976,-112.0943,33.66944,-112.1003,0.346227,21,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04377,AZ-101-LOOP,EASTBOUND,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227586,21,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04377,AZ-101-LOOP,EASTBOUND,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850539,22,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04140,AZ-101-LOOP,WESTBOUND,I-17/EXIT 23,AZ,MARICOPA,85027,33.66944,-112.1003,33.66883,-112.1164,0.92891,22,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04139,AZ-101-LOOP,WESTBOUND,27TH AVE,AZ,MARICOPA,85027,33.66883,-112.1164,33.66883,-112.11696,0.032196,23,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-05163,AZ-101-LOOP,EASTBOUND,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933221,23,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04139,AZ-101-LOOP,WESTBOUND,27TH AVE,AZ,MARICOPA,85027,33.66883,-112.11696,33.66886,-112.12678,0.564626,24,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N05163,AZ-101-LOOP,EASTBOUND,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.00683,33.6728,-111.98856,1.063263,24,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04138,AZ-101-LOOP,WESTBOUND,35TH AVE/EXIT 22,AZ,MARICOPA,85027,33.66886,-112.12678,33.66928,-112.13467,0.456324,25,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04378,AZ-101-LOOP,EASTBOUND,TATUM BLVD/EXIT 31,AZ,MARICOPA,85050,33.6728,-111.98856,33.67283,-111.98384,0.271362,25,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04378,AZ-101-LOOP,EASTBOUND,TATUM BLVD/EXIT 31,AZ,MARICOPA,85050,33.67283,-111.98384,33.67237,-111.97087,0.748902,26,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04138,AZ-101-LOOP,WESTBOUND,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66928,-112.13467,33.66974,-112.1401,0.315343,26,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04137,AZ-101-LOOP,WESTBOUND,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66974,-112.1401,33.66951,-112.16288,1.309938,27,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04379,AZ-101-LOOP,EASTBOUND,56TH ST/EXIT 32,AZ,MARICOPA,85054,33.67237,-111.97087,33.67009,-111.96504,0.371393,27,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04379,AZ-101-LOOP,EASTBOUND,56TH ST/EXIT 32,AZ,MARICOPA,85054,33.67009,-111.96504,33.66521,-111.95459,0.688927,28,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04137,AZ-101-LOOP,WESTBOUND,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66951,-112.16288,33.66845,-112.1766,0.795986,28,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04136,AZ-101-LOOP,WESTBOUND,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66845,-112.1766,33.66844,-112.18048,0.223073,29,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04380,AZ-101-LOOP,EASTBOUND,SCOTTSDALE RD/EXIT 34,AZ,MARICOPA,85054,33.66521,-111.95459,33.65932,-111.93121,1.408415,29,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699116,29,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699116,29,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699114,29,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699114,29,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699114,29,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04380,AZ-101-LOOP,EASTBOUND,SCOTTSDALE RD/EXIT 34,AZ,MARICOPA,85255,33.65932,-111.93121,33.65682,-111.91912,0.716301,30,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04136,AZ-101-LOOP,WESTBOUND,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66844,-112.18048,33.66837,-112.19294,0.716601,30,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,30,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,30,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,30,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,30,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04134,AZ-101-LOOP,CLOCKWISE,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,30,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04135,AZ-101-LOOP,WESTBOUND,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66837,-112.19294,33.66832,-112.19671,0.216796,31,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-05164,AZ-101-LOOP,EASTBOUND,HAYDEN RD/EXIT 35,AZ,MARICOPA,85255,33.65682,-111.91912,33.6558,-111.91423,0.289879,31,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04373,AZ-101-LOOP,SOUTHBOUND,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.65295,-111.90167,33.6511,-111.89787,0.253711,31,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.25012,31,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.25012,31,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.250119,31,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.250119,31,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.250119,31,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04373,AZ-101-LOOP,SOUTHBOUND,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.6511,-111.89787,33.6413,-111.89072,0.810572,32,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04135,AZ-101-LOOP,WESTBOUND,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66832,-112.19671,33.66778,-112.20983,0.755233,32,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N05164,AZ-101-LOOP,EASTBOUND,HAYDEN RD/EXIT 35,AZ,MARICOPA,85255,33.6558,-111.91423,33.65295,-111.90167,0.749265,32,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748918,32,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748918,32,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748916,32,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748916,32,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04135,AZ-101-LOOP,CLOCKWISE,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748916,32,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04134,AZ-101-LOOP,WESTBOUND,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66778,-112.20983,33.66779,-112.21384,0.230589,33,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04372,AZ-101-LOOP,SOUTHBOUND,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6413,-111.89072,33.63808,-111.89045,0.223356,33,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,33,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,33,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,33,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,33,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,33,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04372,AZ-101-LOOP,SOUTHBOUND,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.63808,-111.89045,33.6296,-111.89056,0.585847,34,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04134,AZ-101-LOOP,WESTBOUND,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66779,-112.21384,33.6678,-112.21455,0.040826,34,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.73161,34,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.73161,34,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.731608,34,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.731608,34,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04136,AZ-101-LOOP,CLOCKWISE,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.731608,34,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224803,35,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224803,35,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224802,35,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224802,35,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66826,-112.18051,33.66828,-112.1766,0.224802,35,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903466,36,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903466,36,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
