tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115-04134,AZ-101-LOOP,EASTBOUND,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66638,-112.22642,33.66763,-112.21454,0.699116,1,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04134,AZ-101-LOOP,EASTBOUND,75TH AVE/EXIT 17,AZ,MARICOPA,85308,33.66763,-112.21454,33.6676,-112.21385,0.039724,2,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+05164,AZ-101-LOOP,WESTBOUND,HAYDEN RD/EXIT 35,AZ,MARICOPA,85255,33.65036,-111.89636,33.65314,-111.9015,0.353865,3,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04135,AZ-101-LOOP,EASTBOUND,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.6676,-112.21385,33.66761,-112.2095,0.25012,3,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P05164,AZ-101-LOOP,WESTBOUND,HAYDEN RD/EXIT 35,AZ,MARICOPA,85255,33.65314,-111.9015,33.65597,-111.91411,0.751632,4,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04135,AZ-101-LOOP,EASTBOUND,67TH AVE/EXIT 18,AZ,MARICOPA,85308,33.66761,-112.2095,33.66815,-112.19649,0.748918,4,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04380,AZ-101-LOOP,WESTBOUND,SCOTTSDALE RD/EXIT 34,AZ,MARICOPA,85255,33.65597,-111.91411,33.65699,-111.919,0.289879,5,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04136,AZ-101-LOOP,EASTBOUND,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66815,-112.19649,33.66819,-112.19323,0.18746,5,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04136,AZ-101-LOOP,EASTBOUND,59TH AVE/EXIT 19,AZ,MARICOPA,85308,33.66819,-112.19323,33.66826,-112.18051,0.73161,6,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P04380,AZ-101-LOOP,WESTBOUND,SCOTTSDALE RD/EXIT 34,AZ,MARICOPA,85255,33.65699,-111.919,33.65951,-111.93114,0.719428,6,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
