link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
115N04140,0,0,1,2,-1,-1,2,,0,1.077861,100.000000,100.000000,1.077861,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116390 33.668640,-112.097720 33.669520)"
115+04140,1,0,3,4,-1,-1,2,,0,0.346227,100.000000,100.000000,0.346227,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.094300 33.669760,-112.100300 33.669440)"
115+04380,2,0,5,6,-1,-1,2,,0,0.289879,100.000000,100.000000,0.289879,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914110 33.655970,-111.919000 33.656990)"
115P05163,3,0,7,8,-1,-1,2,,0,1.209790,100.000000,100.000000,1.209790,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.988570 33.673020,-112.009420 33.672930)"
115P05164,4,0,9,5,-1,-1,2,,0,0.751632,100.000000,100.000000,0.751632,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901500 33.653140,-111.914110 33.655970)"
115N04380,5,0,10,11,-1,-1,2,,0,0.716301,100.000000,100.000000,0.716301,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.931210 33.659320,-111.919120 33.656820)"
115+04136,6,0,12,13,-1,-1,2,,0,0.223073,100.000000,100.000000,0.223073,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.176600 33.668450,-112.180480 33.668440)"
115N04374,7,0,14,15,-1,-1,2,,0,0.215066,100.000000,100.000000,0.215066,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.095240 33.669590,-112.091510 33.669390)"
115+04378,8,0,16,17,-1,-1,2,,0,0.402386,100.000000,100.000000,0.402386,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.964570 33.670130,-111.970890 33.672590)"
115+04379,9,0,18,19,-1,-1,2,,0,1.376025,100.000000,100.000000,1.376025,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.931140 33.659510,-111.954010 33.665190)"
115N04373,10,0,20,21,-1,-1,2,,0,0.810572,100.000000,100.000000,0.810572,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.897870 33.651100,-111.890720 33.641300)"
115+04137,11,0,22,23,-1,-1,2,,0,1.309938,100.000000,100.000000,1.309938,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.140100 33.669740,-112.162880 33.669510)"
115N04372,12,0,24,25,-1,-1,2,,0,0.585847,100.000000,100.000000,0.585847,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890450 33.638080,-111.890560 33.629600)"
115+04134,13,0,26,27,-1,-1,2,,0,0.230589,100.000000,100.000000,0.230589,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.209830 33.667780,-112.213840 33.667790)"
115+04376,14,0,28,29,-1,-1,2,,0,1.204628,100.000000,100.000000,1.204628,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.038330 33.670090,-112.059120 33.669170)"
115+04377,15,0,8,30,-1,-1,2,,0,0.826181,100.000000,100.000000,0.826181,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.009420 33.672930,-112.023790 33.672830)"
115+04135,16,0,31,32,-1,-1,2,,0,0.216796,100.000000,100.000000,0.216796,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.192940 33.668370,-112.196710 33.668320)"
115N04136,17,0,33,34,-1,-1,2,,0,0.731610,100.000000,100.000000,0.731610,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.193230 33.668190,-112.180510 33.668260)"
115N04378,18,0,35,36,-1,-1,2,,0,0.748902,100.000000,100.000000,0.748902,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.983840 33.672830,-111.970870 33.672370)"
115N04377,19,0,37,38,-1,-1,2,,0,0.850539,100.000000,100.000000,0.850539,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.037370 33.670200,-112.023060 33.672650)"
115N04135,20,0,39,40,-1,-1,2,,0,0.748918,100.000000,100.000000,0.748918,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.209500 33.667610,-112.196490 33.668150)"
115N04376,21,0,41,42,-1,-1,2,,0,0.820003,100.000000,100.000000,0.820003,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.072750 33.668760,-112.058490 33.668980)"
115+04138,22,0,43,44,-1,-1,2,,0,0.456324,100.000000,100.000000,0.456324,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.126780 33.668860,-112.134670 33.669280)"
115N04134,23,0,45,46,-1,-1,2,,0,0.039724,100.000000,100.000000,0.039724,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.214540 33.667630,-112.213850 33.667600)"
115N04375,24,0,47,48,-1,-1,2,,0,0.746925,100.000000,100.000000,0.746925,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.090070 33.669210,-112.077130 33.668710)"
115+04139,25,0,49,50,-1,-1,2,,0,0.032196,100.000000,100.000000,0.032196,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116400 33.668830,-112.116960 33.668830)"
115N04139,26,0,51,52,-1,-1,2,,0,0.595055,100.000000,100.000000,0.595055,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.127320 33.668640,-112.116970 33.668650)"
115N04138,27,0,53,54,-1,-1,2,,0,0.317499,100.000000,100.000000,0.317499,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.140140 33.669540,-112.134670 33.669090)"
115N04379,28,0,55,56,-1,-1,2,,0,0.688927,100.000000,100.000000,0.688927,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.965040 33.670090,-111.954590 33.665210)"
115N04137,29,0,57,58,-1,-1,2,,0,0.903466,100.000000,100.000000,0.903466,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.176600 33.668280,-112.161000 33.669350)"
115+04374,30,0,59,60,-1,-1,2,,0,0.160533,100.000000,100.000000,0.160533,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.089680 33.669370,-112.092450 33.669660)"
115+04375,31,0,61,62,-1,-1,2,,0,0.205283,100.000000,100.000000,0.205283,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.072660 33.668970,-112.076230 33.668920)"
115+04372,32,0,63,64,-1,-1,2,,0,0.818749,100.000000,100.000000,0.818749,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.891290 33.617790,-111.890240 33.629600)"
115+04373,33,0,65,66,-1,-1,2,,0,0.259359,100.000000,100.000000,0.259359,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890200 33.636860,-111.890290 33.640610)"
115-05163,34,0,38,67,-1,-1,2,,0,0.933221,100.000000,100.000000,0.933221,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.023060 33.672650,-112.006830 33.672650)"
115-05164,35,0,11,68,-1,-1,2,,0,0.289879,100.000000,100.000000,0.289879,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.919120 33.656820,-111.914230 33.655800)"
115P04139,36,0,50,43,-1,-1,2,,0,0.564626,100.000000,100.000000,0.564626,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116960 33.668830,-112.126780 33.668860)"
115P04136,37,0,13,31,-1,-1,2,,0,0.716601,100.000000,100.000000,0.716601,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.180480 33.668440,-112.192940 33.668370)"
115P04378,38,0,17,69,-1,-1,2,,0,0.744653,100.000000,100.000000,0.744653,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.970890 33.672590,-111.983790 33.673060)"
115P04377,39,0,30,28,-1,-1,2,,0,0.867985,100.000000,100.000000,0.867985,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.023790 33.672830,-112.038330 33.670090)"
115P04135,40,0,32,26,-1,-1,2,,0,0.755233,100.000000,100.000000,0.755233,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.196710 33.668320,-112.209830 33.667780)"
115P04138,41,0,44,22,-1,-1,2,,0,0.315343,100.000000,100.000000,0.315343,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.134670 33.669280,-112.140100 33.669740)"
115P04137,42,0,23,12,-1,-1,2,,0,0.795986,100.000000,100.000000,0.795986,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.162880 33.669510,-112.176600 33.668450)"
115P04379,43,0,19,16,-1,-1,2,,0,0.696492,100.000000,100.000000,0.696492,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.954010 33.665190,-111.964570 33.670130)"
115-04380,44,0,56,10,-1,-1,2,,0,1.408415,100.000000,100.000000,1.408415,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.954590 33.665210,-111.931210 33.659320)"
115P04374,45,0,60,3,-1,-1,2,,0,0.106601,100.000000,100.000000,0.106601,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.092450 33.669660,-112.094300 33.669760)"
115P04373,46,0,66,70,-1,-1,2,,0,0.774745,100.000000,100.000000,0.774745,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890290 33.640610,-111.896360 33.650360)"
115P04376,47,0,29,61,-1,-1,2,,0,0.778597,100.000000,100.000000,0.778597,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.059120 33.669170,-112.072660 33.668970)"
115P04134,48,0,27,71,-1,-1,2,,0,0.040826,100.000000,100.000000,0.040826,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.213840 33.667790,-112.214550 33.667800)"
115P04375,49,0,62,59,-1,-1,2,,0,0.776150,100.000000,100.000000,0.776150,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.076230 33.668920,-112.089680 33.669370)"
115-04140,50,0,52,1,-1,-1,2,,0,0.033353,100.000000,100.000000,0.033353,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116970 33.668650,-112.116390 33.668640)"
115P04372,51,0,64,65,-1,-1,2,,0,0.501552,100.000000,100.000000,0.501552,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890240 33.629600,-111.890200 33.636860)"
115N05163,52,0,67,72,-1,-1,2,,0,1.063263,100.000000,100.000000,1.063263,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.006830 33.672650,-111.988560 33.672800)"
115N05164,53,0,68,73,-1,-1,2,,0,0.749265,100.000000,100.000000,0.749265,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914230 33.655800,-111.901670 33.652950)"
115+05163,54,0,69,7,-1,-1,2,,0,0.274825,100.000000,100.000000,0.274825,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.983790 33.673060,-111.988570 33.673020)"
115+05164,55,0,70,9,-1,-1,2,,0,0.353865,100.000000,100.000000,0.353865,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.896360 33.650360,-111.901500 33.653140)"
115-04374,56,0,2,14,-1,-1,2,,0,0.142708,100.000000,100.000000,0.142708,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.097720 33.669520,-112.095240 33.669590)"
115-04375,57,0,15,47,-1,-1,2,,0,0.083723,100.000000,100.000000,0.083723,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.091510 33.669390,-112.090070 33.669210)"
115P04380,58,0,6,18,-1,-1,2,,0,0.719428,100.000000,100.000000,0.719428,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.919000 33.656990,-111.931140 33.659510)"
115-04376,59,0,48,41,-1,-1,2,,0,0.251848,100.000000,100.000000,0.251848,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.077130 33.668710,-112.072750 33.668760)"
115P04140,60,0,4,49,-1,-1,2,,0,0.928910,100.000000,100.000000,0.928910,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.100300 33.669440,-112.116400 33.668830)"
115-04377,61,0,42,37,-1,-1,2,,0,1.227586,100.000000,100.000000,1.227586,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.058490 33.668980,-112.037370 33.670200)"
115-04135,62,0,46,39,-1,-1,2,,0,0.250120,100.000000,100.000000,0.250120,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.213850 33.667600,-112.209500 33.667610)"
115-04134,63,0,74,45,-1,-1,2,,0,0.699116,100.000000,100.000000,0.699116,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.226420 33.666380,-112.214540 33.667630)"
115-04372,64,0,21,24,-1,-1,2,,0,0.223356,100.000000,100.000000,0.223356,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890720 33.641300,-111.890450 33.638080)"
115-04373,65,0,73,20,-1,-1,2,,0,0.253711,100.000000,100.000000,0.253711,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901670 33.652950,-111.897870 33.651100)"
115-04139,66,0,54,51,-1,-1,2,,0,0.425474,100.000000,100.000000,0.425474,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.134670 33.669090,-112.127320 33.668640)"
115-04138,67,0,58,53,-1,-1,2,,0,1.199391,100.000000,100.000000,1.199391,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.161000 33.669350,-112.140140 33.669540)"
115-04137,68,0,34,57,-1,-1,2,,0,0.224803,100.000000,100.000000,0.224803,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.180510 33.668260,-112.176600 33.668280)"
115-04136,69,0,40,33,-1,-1,2,,0,0.187460,100.000000,100.000000,0.187460,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.196490 33.668150,-112.193230 33.668190)"
115-04378,70,0,72,35,-1,-1,2,,0,0.271362,100.000000,100.000000,0.271362,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.988560 33.672800,-111.983840 33.672830)"
115-04379,71,0,36,55,-1,-1,2,,0,0.371393,100.000000,100.000000,0.371393,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.970870 33.672370,-111.965040 33.670090)"
115N04140,72,0,1,2,-1,-1,2,,0,1.077861,100.000000,100.000000,1.077861,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116390 33.668640,-112.097720 33.669520)"
115+04140,73,0,3,4,-1,-1,2,,0,0.346227,100.000000,100.000000,0.346227,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.094300 33.669760,-112.100300 33.669440)"
115+04380,74,0,5,6,-1,-1,2,,0,0.289879,100.000000,100.000000,0.289879,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.914110 33.655970,-111.919000 33.656990)"
115P05163,75,0,7,8,-1,-1,2,,0,1.209790,100.000000,100.000000,1.209790,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.988570 33.673020,-112.009420 33.672930)"
115P05164,76,0,9,5,-1,-1,2,,0,0.751632,100.000000,100.000000,0.751632,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.901500 33.653140,-111.914110 33.655970)"
115N04380,77,0,10,11,-1,-1,2,,0,0.716301,100.000000,100.000000,0.716301,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.931210 33.659320,-111.919120 33.656820)"
115+04136,78,0,12,13,-1,-1,2,,0,0.223073,100.000000,100.000000,0.223073,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.176600 33.668450,-112.180480 33.668440)"
115N04374,79,0,14,15,-1,-1,2,,0,0.215066,100.000000,100.000000,0.215066,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.095240 33.669590,-112.091510 33.669390)"
115+04378,80,0,16,17,-1,-1,2,,0,0.402386,100.000000,100.000000,0.402386,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.964570 33.670130,-111.970890 33.672590)"
115+04379,81,0,18,19,-1,-1,2,,0,1.376025,100.000000,100.000000,1.376025,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.931140 33.659510,-111.954010 33.665190)"
115N04373,82,0,20,21,-1,-1,2,,0,0.810572,100.000000,100.000000,0.810572,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.897870 33.651100,-111.890720 33.641300)"
115+04137,83,0,22,23,-1,-1,2,,0,1.309938,100.000000,100.000000,1.309938,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.140100 33.669740,-112.162880 33.669510)"
115N04372,84,0,24,25,-1,-1,2,,0,0.585847,100.000000,100.000000,0.585847,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.890450 33.638080,-111.890560 33.629600)"
115+04134,85,0,26,27,-1,-1,2,,0,0.230589,100.000000,100.000000,0.230589,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.209830 33.667780,-112.213840 33.667790)"
115+04376,86,0,28,29,-1,-1,2,,0,1.204628,100.000000,100.000000,1.204628,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.038330 33.670090,-112.059120 33.669170)"
115+04377,87,0,8,30,-1,-1,2,,0,0.826181,100.000000,100.000000,0.826181,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.009420 33.672930,-112.023790 33.672830)"
115+04135,88,0,31,32,-1,-1,2,,0,0.216796,100.000000,100.000000,0.216796,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.192940 33.668370,-112.196710 33.668320)"
115N04136,89,0,33,34,-1,-1,2,,0,0.731610,100.000000,100.000000,0.731610,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.193230 33.668190,-112.180510 33.668260)"
115N04378,90,0,35,36,-1,-1,2,,0,0.748902,100.000000,100.000000,0.748902,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.983840 33.672830,-111.970870 33.672370)"
115N04377,91,0,37,38,-1,-1,2,,0,0.850539,100.000000,100.000000,0.850539,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.037370 33.670200,-112.023060 33.672650)"
115N04135,92,0,39,40,-1,-1,2,,0,0.748918,100.000000,100.000000,0.748918,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.209500 33.667610,-112.196490 33.668150)"
115N04376,93,0,41,42,-1,-1,2,,0,0.820003,100.000000,100.000000,0.820003,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.072750 33.668760,-112.058490 33.668980)"
115+04138,94,0,43,44,-1,-1,2,,0,0.456324,100.000000,100.000000,0.456324,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.126780 33.668860,-112.134670 33.669280)"
115N04134,95,0,45,46,-1,-1,2,,0,0.039724,100.000000,100.000000,0.039724,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.214540 33.667630,-112.213850 33.667600)"
115N04375,96,0,47,48,-1,-1,2,,0,0.746925,100.000000,100.000000,0.746925,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.090070 33.669210,-112.077130 33.668710)"
115+04139,97,0,49,50,-1,-1,2,,0,0.032196,100.000000,100.000000,0.032196,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.116400 33.668830,-112.116960 33.668830)"
115N04139,98,0,51,52,-1,-1,2,,0,0.595055,100.000000,100.000000,0.595055,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.127320 33.668640,-112.116970 33.668650)"
115N04138,99,0,53,54,-1,-1,2,,0,0.317499,100.000000,100.000000,0.317499,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-112.140140 33.669540,-112.134670 33.669090)"
115N04379,100,0,55,56,-1,-1,2,,0,0.688927,100.000000,100.000000,0.688927,1800.000000,,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.965040 33.670090,-111.954590 33.665210)"
