node_id,node_no,layer_no,MRM_gate_flag,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
73,72,0,-1,,0,6,0,, -1,,0,-111.901670,33.652950
74,73,0,-1,,0,6,0,, -1,,0,-112.226420,33.666380
75,74,0,-1,,0,0,0,, -1,,0,-111.914110,33.655970
76,75,0,-1,,0,0,0,, -1,,0,-111.890720,33.641300
77,76,0,-1,,0,0,0,, -1,,0,-112.059120,33.669170
78,77,0,-1,,0,0,0,, -1,,0,-112.180510,33.668260
79,78,0,-1,,0,0,0,, -1,,0,-111.970870,33.672370
80,79,0,-1,,0,0,0,, -1,,0,-112.134670,33.669280
81,80,0,-1,,0,0,0,, -1,,0,-112.077130,33.668710
82,81,0,-1,,0,0,0,, -1,,0,-111.890240,33.629600
83,82,0,-1,,0,0,0,, -1,,0,-112.126780,33.668860
84,83,0,-1,,0,0,0,, -1,,0,-112.192940,33.668370
85,84,0,-1,,0,0,0,, -1,,0,-112.176600,33.668450
86,85,0,-1,,0,0,0,, -1,,0,-111.964570,33.670130
87,86,0,-1,,0,0,0,, -1,,0,-111.896360,33.650360
88,87,0,-1,,0,0,0,, -1,,0,-112.089680,33.669370
89,88,0,-1,,0,0,0,, -1,,0,-111.901670,33.652950
90,89,0,-1,,0,0,0,, -1,,0,-111.931140,33.659510
91,90,0,-1,,0,0,0,, -1,,0,-112.214540,33.667630
