data_type,link_id,tmc_corridor_name,from_node_id,to_node_id,vdf_code,QVDF_qdf1,QVDF_n1,QVDF_s1,QVDF_cp1,QVDF_cd1,QVDF_alpha1,QVDF_beta1,QVDF_qdf2,QVDF_n2,QVDF_s2,QVDF_cp2,QVDF_cd2,QVDF_alpha2,QVDF_beta2,QVDF_qdf3,QVDF_n3,QVDF_s3,QVDF_cp3,QVDF_cd3,QVDF_alpha3,QVDF_beta3,
link,115N04140,AZ-101-LOOP,1,2,,0.269073,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115+04140,AZ-101-LOOP,3,4,,0.384097,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115+04380,AZ-101-LOOP,5,6,,0.351743,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115P05163,AZ-101-LOOP,7,8,,0.323314,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115P05164,AZ-101-LOOP,9,5,,0.363148,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115N04380,AZ-101-LOOP,10,11,,0.407068,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115+04136,AZ-101-LOOP,12,13,,0.365096,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115N04374,AZ-101-LOOP,14,15,,0.285262,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115+04378,AZ-101-LOOP,16,17,,0.333677,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115+04379,AZ-101-LOOP,18,19,,0.329648,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
link,115N04373,AZ-101-LOOP,20,21,,0.379287,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,0.250000,1.240000,4.000000,0.240000,1.000000,0.128000,4.960000,
