data_type,link_id,tmc_corridor_name,from_node_id,to_node_id,vdf_code,QVDF_plf1,QVDF_n1,QVDF_s1,QVDF_cp1,QVDF_cd1,QVDF_alpha1,QVDF_beta1,QVDF_plf2,QVDF_n2,QVDF_s2,QVDF_cp2,QVDF_cd2,QVDF_alpha2,QVDF_beta2,QVDF_plf3,QVDF_n3,QVDF_s3,QVDF_cp3,QVDF_cd3,QVDF_alpha3,QVDF_beta3
link,115-04134,AZ-101-LOOP_COUNTERCLOCKWISE,2,2,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115N04134,AZ-101-LOOP_COUNTERCLOCKWISE,2,3,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115+05164,AZ-101-LOOP_COUNTERCLOCKWISE,5,5,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115-04135,AZ-101-LOOP_COUNTERCLOCKWISE,3,6,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115P05164,AZ-101-LOOP_COUNTERCLOCKWISE,5,7,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115N04135,AZ-101-LOOP_COUNTERCLOCKWISE,6,8,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115+04380,AZ-101-LOOP_COUNTERCLOCKWISE,7,9,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115-04136,AZ-101-LOOP_COUNTERCLOCKWISE,8,10,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115N04136,AZ-101-LOOP_COUNTERCLOCKWISE,10,11,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115P04380,AZ-101-LOOP_COUNTERCLOCKWISE,9,12,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115+04379,AZ-101-LOOP_COUNTERCLOCKWISE,12,13,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115-04137,AZ-101-LOOP_COUNTERCLOCKWISE,11,14,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115N04137,AZ-101-LOOP_COUNTERCLOCKWISE,14,15,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115P04379,AZ-101-LOOP_COUNTERCLOCKWISE,13,16,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115+04378,AZ-101-LOOP_COUNTERCLOCKWISE,16,17,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115-04138,AZ-101-LOOP_COUNTERCLOCKWISE,15,18,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115N04138,AZ-101-LOOP_COUNTERCLOCKWISE,18,19,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115P04378,AZ-101-LOOP_COUNTERCLOCKWISE,17,20,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115+05163,AZ-101-LOOP_COUNTERCLOCKWISE,20,21,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115-04139,AZ-101-LOOP_COUNTERCLOCKWISE,19,22,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
link,115P05163,AZ-101-LOOP_COUNTERCLOCKWISE,21,23,,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1,1,1,1,1,1,0.5333333333333333,1
