link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
115-04379,431,0,91,91,-1,-1,2,,1,0.371392,70,49.0,0.371392,1800,all,1,0.39999993,4,1,0.272876961,4,0.954946463,1.141574427,"LINESTRING(-112.214540013118 33.66763000041, -112.214540013118 33.66763000041)"
